Symbol,Min_halflife,Max_halflife,Tissue_rolfs
ACSL1,65.42467586988863,352.00026096976535,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACSL5,54.11513071610791,347.51477613185074,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle
ACSL6,71.07683116187225,339.22374252515414,Cricoid Cartilage|Laryngeal Muscle|Liver
ACSM1,35.87873082310029,208.15230647439338,Cricoid Cartilage|Liver
ACSM2,73.09751442761228,91.92933429175125,Liver
ACSM3,106.4878526016965,125.83609934521095,Liver
ACSM5,107.2015229632498,129.91434856257078,Liver
ACSS2,55.002586653789685,91.20357638944479,Liver
ACSS3,83.6965804660748,109.93611111179342,Liver
ACTA1,78.90495818164956,1234.089935715036,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACTA2,85.27106634597658,1234.089935715036,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACTB,49.450171913554,1072.5681710792323,Arytenoid Cartilage|Blood|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACTBL2,93.03989000803885,934.0557177674723,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACTC1,78.90495818164956,1072.5681710792323,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACTG1,49.450171913554,1072.5681710792323,Arytenoid Cartilage|Blood|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACTG2,78.90495818164956,1072.5681710792323,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACTL6A,70.54633956760634,136.65926504095887,Arytenoid Cartilage
ACTL6B,70.54633956760634,136.65926504095887,Arytenoid Cartilage
ACTL7A,21.93995533471205,23.36845020711178,Liver
ACTN1,62.207510034547674,465.7203900738746,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACTN2,87.22947057541532,516.4710441924491,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACTN3,87.22947057541532,586.1709772177178,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACTN4,52.273543028653464,465.7203900738746,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACTR10,103.10854303606509,126.60222475980805,Cricoid Cartilage
ACTR1A,60.02790146659929,130.72082613106014,Laryngeal Muscle|Liver
ACTR1B,60.02790146659929,130.72082613106014,Laryngeal Muscle|Liver
ACTR2,76.4465435110458,196.63749803111185,Arytenoid Cartilage|Cricoid Cartilage|Liver|Thyroid Cartilage|Vocal Fold Mucosa
ACTR3,88.00006524247404,182.40715277893352,Arytenoid Cartilage|Liver|Vocal Fold Mucosa
ACTRT1,120.26845238171478,159.05471205123726,Liver
ACY1,88.78439629309503,128.34078331614563,Liver
ACY3,92.82703160223954,123.90535031607988,Liver
ACYP1,89.40950410317492,269.1398209583342,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Thyroid Cartilage
ACYP2,196.59102261215406,306.36339472244015,Cricoid Cartilage|Sternocleidomastoid Muscle|Thyroid Cartilage
ADA,16.88972265946364,69.32338347892934,Arytenoid Cartilage|Cricoid Cartilage|Vocal Fold Mucosa
ADARB1,40.778360910467256,54.643057198201646,Blood
ADCY2,407.23457364599267,531.996556873642,Cricoid Cartilage
ADD2,319.48400870825355,413.61343444651357,Cricoid Cartilage
ADGRF1,110.2713266169766,167.8830591728597,Laryngeal Muscle|Liver
ADH1,81.09355724596438,227.47890514742878,Arytenoid Cartilage|Cricoid Cartilage|Liver|Vocal Fold Mucosa
ADH5,96.47142387750532,372.3261489128936,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Thyroid Cartilage|Vocal Fold Mucosa
ADH7,62.14012301908285,142.9415048413292,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Vocal Fold Mucosa
ADHFE1,78.18184196558217,113.02848439621943,Liver
ADI1,37.14698062532361,52.71916442224265,Liver
ADK,79.92856548040493,205.0984136780615,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Thyroid Cartilage
ADPRH,97.43195697223139,153.98993181004195,Cricoid Cartilage
ADSL,111.40860121509681,207.244703294325,Arytenoid Cartilage|Laryngeal Muscle|Vocal Fold Mucosa
ADSS1,129.23813186325907,226.21066539895327,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ADSS2,38.36961973761116,89.40950410318558,Arytenoid Cartilage|Cricoid Cartilage|Liver
AFG2A,434.23472548782865,504.2598464213007,Arytenoid Cartilage
AFG3L2,85.53852495596752,246.0877564117459,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Vocal Fold Mucosa
AFM,16.754320465530878,33.406025007876636,Blood
AFTPH,790.2865716598026,897.7621334829385,Cricoid Cartilage
AGA,39.28941766476626,73.39421306555501,Cricoid Cartilage
AGK,105.14842508968289,247.2214643102061,Cricoid Cartilage|Laryngeal Muscle|Liver
AGMAT,121.57810665379507,158.0723330809454,Liver
AGO4,52.8699581548982,100.54718847651097,Arytenoid Cartilage|Cricoid Cartilage
AGPAT3,57.88084037938371,408.3341269865356,Laryngeal Muscle|Liver
AGR2,77.23446925780532,130.35207908978722,Cricoid Cartilage|Laryngeal Muscle
AGRN,241.97137939536873,299.4695289546338,Cricoid Cartilage
AGXT,74.07397067163967,110.54244357390363,Liver
AGXT2,122.22123527616407,153.13939366140784,Liver
AHCY,72.25614530442078,441.3778809614957,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle
AHCYL2,120.26845238167502,161.3377202350059,Cricoid Cartilage
AHSA1,52.140831635915106,86.679514034174,Cricoid Cartilage|Laryngeal Muscle|Liver
AHSG,8.3177661667198,78.66615753269319,Arytenoid Cartilage|Blood|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Vocal Fold Mucosa
AIFM1,110.99974867176344,461.32923830945066,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Thyroid Cartilage|Vocal Fold Mucosa
AIMP1,63.15452083610603,149.38516822412646,Arytenoid Cartilage|Liver|Sternocleidomastoid Muscle
AIMP2,83.54526081477835,116.91287042967609,Liver|Thyroid Cartilage
AK1,225.07823479142004,436.5135747425551,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
AK2,56.16127859774713,377.6511312924667,Arytenoid Cartilage|Cricoid Cartilage|Liver|Thyroid Cartilage|Vocal Fold Mucosa
AK3,78.82644206518256,226.8584799322793,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Thyroid Cartilage|Vocal Fold Mucosa
AK4,44.144815660329854,50.387800495043706,Liver
AK5,196.05813003463447,350.5169054664721,Liver
AKAP1,83.91612355447282,109.85625261466494,Cricoid Cartilage
AKAP13,99.04460784370741,156.95379123901895,Blood
AKAP5,551.7589496994613,633.9760797804408,Cricoid Cartilage
AKR1A1,91.4341669420445,353.87220449774077,Arytenoid Cartilage|Blood|Cricoid Cartilage|Laryngeal Muscle|Liver|Vocal Fold Mucosa
AKR1B1,101.52903468683049,441.49501946471116,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
AKR1B7,130.2602171594917,170.6733593253174,Liver
AKR1B8,119.98220218852296,172.03239227961467,Liver
AKR1C13,96.96061277284474,135.1932737378054,Liver
AKR1C18,74.11687384021643,135.1932737378054,Liver
